age,sex,sexornt,agekdbrn,natdrug,grass,happy,hapmar,socbar,polhitok,hunt,fejobaff,discaffm,discaffw,fehire,inttech,meovrwrk,hapunhap,theism,fatalism,godmeans,nihilism,egomeans,evidu,idu30,evcrack,crack30,race,uscitzn,fucitzn,cohort,realinc,realrinc
70,MALE,NA,22,TOO MUCH,LEGAL,VERY HAPPY,VERY HAPPY,NEVER,YES,NA,STRONGLY FOR,VERY UNLIKELY,NA,NA,Very interested,NA,VERY HAPPY,AGREE,AGREE,AGREE,NEITHER AGREE NOR DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1948,10782.5,NA
57,FEMALE,NA,24,NA,NA,VERY HAPPY,VERY HAPPY,NEVER,NA,NEITHER,NA,NA,VERY LIKELY,AGREE,Moderately interested,DISAGREE,VERY HAPPY,STRONGLY AGREE,DISAGREE,AGREE,STRONGLY DISAGREE,DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1961,30645,9647.5
37,FEMALE,Heterosexual or straight,NA,NA,NA,NOT TOO HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1981,30645,30645
64,MALE,Heterosexual or straight,26,NA,NOT LEGAL,PRETTY HAPPY,PRETTY HAPPY,NEVER,NO,NA,NA,NA,SOMEWHAT LIKELY,AGREE,NA,DISAGREE,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1954,17025,NA
74,FEMALE,NA,25,TOO LITTLE,NA,PRETTY HAPPY,NA,NEVER,NA,NEITHER,NA,SOMEWHAT UNLIKELY,NA,NA,Moderately interested,AGREE,VERY HAPPY,STRONGLY AGREE,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,NA,NA,NA,NA,BLACK,NA,NA,1944,37455,NA
71,FEMALE,Heterosexual or straight,20,NA,NA,PRETTY HAPPY,NA,NA,NA,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,BLACK,NA,NA,1947,6242.5,NA
22,MALE,Heterosexual or straight,NA,TOO LITTLE,LEGAL,PRETTY HAPPY,NA,NA,NO,RESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NO,NA,WHITE,NA,NA,1996,24970,9647.5
26,FEMALE,NA,NA,NA,NA,NOT TOO HAPPY,NA,SEV TIMES A WEEK,NA,RESP,NA,NA,VERY UNLIKELY,STRONGLY AGREE,Not at all interested,AGREE,FAIRLY HAPPY,AGREE,STRONGLY AGREE,AGREE,DISAGREE,NEITHER AGREE NOR DISAGREE,NA,NA,NA,NA,WHITE,NA,NA,1992,10782.5,3405
52,FEMALE,NA,25,TOO LITTLE,NA,PRETTY HAPPY,VERY HAPPY,NEVER,NA,SPOUSE,AGAINST,VERY UNLIKELY,NA,NA,Moderately interested,STRONGLY AGREE,FAIRLY HAPPY,AGREE,DISAGREE,AGREE,DISAGREE,AGREE,NA,NA,NA,NA,WHITE,NA,NA,1966,30645,20430
84,FEMALE,NA,21,NA,NOT LEGAL,PRETTY HAPPY,NA,NA,YES,NEITHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLACK,NA,NA,1934,20430,NA
