IDSTUD,ITBIRTHM,ITBIRTHY,ITSEX,ASDAGE,ASSSCI01,ASSEAR01,ASSLIF01,ASSPHY01,ASSKNO01,ASSAPP01,ASSREA01
1680229,6,2005,2,9.83,572.8411,635.0166,669.3291,662.3938,611.5953,573.9613,619.3805
1680230,2,2004,2,11.17,579.7704,628.226,665.1887,640.7563,644.4997,631.4546,621.1647
1680231,5,2005,2,9.92,495.9999,454.4121,522.6652,492.2388,509.3271,483.3008,481.4815
1680232,9,2006,2,8.58,483.5444,467.2427,479.2102,465.3432,550.2114,555.0577,547.6495
1680233,6,2005,2,9.83,398.4824,395.9244,371.2169,345.4872,444.6243,417.4823,430.1239
1690201,2,2005,1,10.25,492.8612,451.792,424.9594,443.617,422.3158,463.6902,426.5804
1690202,3,2005,2,10.17,499.4592,517.0759,547.3179,539.2303,450.3308,506.3712,466.0981
1690203,1,2005,1,10.33,523.792,463.1669,502.8891,485.6487,434.5101,450.0723,483.8469
1690204,2,2005,1,10.25,531.5665,510.63,482.0509,473.9942,474.4174,481.0502,510.1961
1690205,7,2004,1,10.83,619.2721,621.574,621.0665,579.5377,644.1718,605.1059,665.5206
1690207,5,2004,1,11,415.6456,404.8041,465.4379,417.6372,370.1121,429.016,403.4017
1690208,4,2004,1,11.08,531.2713,504.9886,524.2208,550.3114,505.9851,546.9352,555.431
1690209,1,2005,1,10.33,632.973,621.1139,606.5521,602.988,560.9545,535.6046,554.7754
1690210,1,2004,2,11.33,414.3149,458.4628,504.2293,459.5078,491.6012,515.7402,488.0536
1690211,6,2005,2,9.92,429.218,404.3939,398.7705,423.1833,388.0103,404.2974,411.9507
1690212,12,2004,2,10.42,376.6511,457.561,497.9194,518.1901,447.3578,472.6997,492.7778
1690213,1,2005,2,10.33,462.4242,490.5432,498.7274,505.8103,449.6513,458.3632,477.651
1690214,5,2005,2,10,495.8966,490.1718,474.5969,458.6828,471.4912,472.5422,475.2465
1690215,7,2005,2,9.83,463.4229,461.6912,481.0687,441.0324,467.0518,460.7407,482.4872
1690216,5,2005,2,10,426.9466,375.4227,419.9388,402.4131,417.9868,421.8291,424.5482
1690218,12,2004,2,10.42,526.6304,486.9706,532.7327,497.5732,557.7251,567.943,589.1764
1690222,7,2004,2,10.83,472.6657,398.0819,423.6954,423.1866,420.4597,450.8359,453.9406
1690223,2,2005,1,10.25,495.8428,484.1936,586.207,497.9485,558.8444,557.8009,540.5097
1690224,5,2005,1,10,495.0609,510.4654,519.1935,511.6209,488.6516,489.9278,486.6386
1690225,8,2005,2,9.75,349.0881,396.3103,394.81,366.7768,287.9552,301.2626,302.7537
1690226,2,2005,2,10.25,468.0136,529.957,596.2504,558.9395,457.7229,506.1524,470.5106
1690227,1,2005,2,10.33,521.0427,574.2503,567.0396,550.8033,476.0108,475.2831,495.4048
1690228,12,2004,2,10.42,405.4625,437.3616,505.8898,489.6315,368.9366,376.6021,430.0958
1690229,9,2005,1,9.67,425.4375,432.9098,449.645,379.9469,386.6865,411.4529,467.2749
1690231,10,2004,1,10.58,527.7032,554.8523,583.8942,537.8611,516.2203,496.2716,488.9452
1690233,3,2005,1,10.17,565.5883,573.6741,591.1545,534.9491,537.326,520.6231,531.9604
1690234,9,2005,2,9.67,422.7714,334.7991,318.8071,312.0005,372.8459,424.4798,378.0849
1690235,12,2003,2,11.42,639.6245,625.2898,624.4883,619.2758,626.1494,568.0321,543.4899
1690236,7,2005,2,9.83,448.2233,494.4841,490.6209,514.334,445.8217,468.7203,477.3724
1690237,5,2005,1,10,518.4853,364.4464,423.4987,383.3941,515.3208,491.5436,471.0828
1690301,1,2005,2,10.33,565.8779,442.2533,516.7229,489.4172,506.6287,514.2585,504.6063
1690302,8,2005,2,9.75,475.4713,501.5834,478.0165,508.3821,504.4116,492.3116,515.9243
1690303,10,2004,2,10.58,611.2392,576.3819,634.7466,598.6759,607.6424,588.0525,611.7942
